oare_id,parent_oare_id,fold,top1_score,g35_enabled,g50_enabled,g65_enabled
06bcd3b4-2ea6-4f9e-9b7c-fba145ff4e9b__c2of2,06bcd3b4-2ea6-4f9e-9b7c-fba145ff4e9b,3,1.0,True,True,True
06ec260a-bcc5-4762-b2ee-dfbc10cfbfbe,06ec260a-bcc5-4762-b2ee-dfbc10cfbfbe,0,0.403,True,False,False
072fa62e-126a-4189-aa4f-c539b693ff07__c1of2,072fa62e-126a-4189-aa4f-c539b693ff07,0,0.3667,True,False,False
072fa62e-126a-4189-aa4f-c539b693ff07__c2of2,072fa62e-126a-4189-aa4f-c539b693ff07,0,0.3943,True,False,False
074cc9ae-4858-41c9-9e43-2080efc0ab48__c1of2,074cc9ae-4858-41c9-9e43-2080efc0ab48,4,0.3598,True,False,False
074cc9ae-4858-41c9-9e43-2080efc0ab48__c2of2,074cc9ae-4858-41c9-9e43-2080efc0ab48,4,0.2611,False,False,False
076bf725-426a-445c-8c5d-0386627c9458__c1of2,076bf725-426a-445c-8c5d-0386627c9458,3,1.0,True,True,True
076bf725-426a-445c-8c5d-0386627c9458__c2of2,076bf725-426a-445c-8c5d-0386627c9458,3,1.0,True,True,True
0785386c-bea4-4fde-beef-bcb5dc63f220,0785386c-bea4-4fde-beef-bcb5dc63f220,3,0.3799,True,False,False
07a52b72-c4d6-4aa2-8d1c-2e3ba0024509__c1of8,07a52b72-c4d6-4aa2-8d1c-2e3ba0024509,2,0.5019,True,True,False
07a52b72-c4d6-4aa2-8d1c-2e3ba0024509__c2of8,07a52b72-c4d6-4aa2-8d1c-2e3ba0024509,2,0.4716,True,False,False
07a52b72-c4d6-4aa2-8d1c-2e3ba0024509__c3of8,07a52b72-c4d6-4aa2-8d1c-2e3ba0024509,2,0.2926,False,False,False
07a52b72-c4d6-4aa2-8d1c-2e3ba0024509__c4of8,07a52b72-c4d6-4aa2-8d1c-2e3ba0024509,2,0.3524,True,False,False
07a52b72-c4d6-4aa2-8d1c-2e3ba0024509__c5of8,07a52b72-c4d6-4aa2-8d1c-2e3ba0024509,2,0.2873,False,False,False
07a52b72-c4d6-4aa2-8d1c-2e3ba0024509__c6of8,07a52b72-c4d6-4aa2-8d1c-2e3ba0024509,2,0.2646,False,False,False
07a52b72-c4d6-4aa2-8d1c-2e3ba0024509__c7of8,07a52b72-c4d6-4aa2-8d1c-2e3ba0024509,2,0.2651,False,False,False
07a52b72-c4d6-4aa2-8d1c-2e3ba0024509__c8of8,07a52b72-c4d6-4aa2-8d1c-2e3ba0024509,2,0.3115,False,False,False
07e7a1b1-4d8d-4363-996b-e29d43fe77e4__c1of3,07e7a1b1-4d8d-4363-996b-e29d43fe77e4,3,1.0,True,True,True
07e7a1b1-4d8d-4363-996b-e29d43fe77e4__c2of3,07e7a1b1-4d8d-4363-996b-e29d43fe77e4,3,1.0,True,True,True
07e7a1b1-4d8d-4363-996b-e29d43fe77e4__c3of3,07e7a1b1-4d8d-4363-996b-e29d43fe77e4,3,0.3168,False,False,False
0802d7e7-1be2-42b7-913b-62861455f45e,0802d7e7-1be2-42b7-913b-62861455f45e,0,0.3489,False,False,False
080d13ab-4e1a-4865-86b0-1018f7a43b93__c1of5,080d13ab-4e1a-4865-86b0-1018f7a43b93,3,1.0,True,True,True
080d13ab-4e1a-4865-86b0-1018f7a43b93__c2of5,080d13ab-4e1a-4865-86b0-1018f7a43b93,3,1.0,True,True,True
080d13ab-4e1a-4865-86b0-1018f7a43b93__c3of5,080d13ab-4e1a-4865-86b0-1018f7a43b93,3,0.4624,True,False,False
080d13ab-4e1a-4865-86b0-1018f7a43b93__c4of5,080d13ab-4e1a-4865-86b0-1018f7a43b93,3,0.4624,True,False,False
080d13ab-4e1a-4865-86b0-1018f7a43b93__c5of5,080d13ab-4e1a-4865-86b0-1018f7a43b93,3,1.0,True,True,True
0819f9cd-c0a0-4be4-9307-040881cbb5db,0819f9cd-c0a0-4be4-9307-040881cbb5db,2,0.3967,True,False,False
081aacd7-46bb-4ca3-9040-3ec3f433084c__c1of5,081aacd7-46bb-4ca3-9040-3ec3f433084c,3,0.6242,True,True,False
081aacd7-46bb-4ca3-9040-3ec3f433084c__c2of5,081aacd7-46bb-4ca3-9040-3ec3f433084c,3,0.4522,True,False,False
081aacd7-46bb-4ca3-9040-3ec3f433084c__c3of5,081aacd7-46bb-4ca3-9040-3ec3f433084c,3,0.3258,False,False,False
081aacd7-46bb-4ca3-9040-3ec3f433084c__c4of5,081aacd7-46bb-4ca3-9040-3ec3f433084c,3,0.5238,True,True,False
081aacd7-46bb-4ca3-9040-3ec3f433084c__c5of5,081aacd7-46bb-4ca3-9040-3ec3f433084c,3,1.0,True,True,True
083853f6-0552-42cf-8bf9-33bd469fb345__c1of5,083853f6-0552-42cf-8bf9-33bd469fb345,2,1.0,True,True,True
083853f6-0552-42cf-8bf9-33bd469fb345__c2of5,083853f6-0552-42cf-8bf9-33bd469fb345,2,1.0,True,True,True
083853f6-0552-42cf-8bf9-33bd469fb345__c3of5,083853f6-0552-42cf-8bf9-33bd469fb345,2,0.3716,True,False,False
083853f6-0552-42cf-8bf9-33bd469fb345__c4of5,083853f6-0552-42cf-8bf9-33bd469fb345,2,0.4588,True,False,False
083853f6-0552-42cf-8bf9-33bd469fb345__c5of5,083853f6-0552-42cf-8bf9-33bd469fb345,2,1.0,True,True,True
088d9eb0-06e6-4d59-94d1-b1546b8a3d7e__c1of2,088d9eb0-06e6-4d59-94d1-b1546b8a3d7e,3,0.3204,False,False,False
088d9eb0-06e6-4d59-94d1-b1546b8a3d7e__c2of2,088d9eb0-06e6-4d59-94d1-b1546b8a3d7e,3,0.2377,False,False,False
08be4fa5-528d-4cd7-a3b9-a7f6452b61d1__c1of2,08be4fa5-528d-4cd7-a3b9-a7f6452b61d1,2,0.3939,True,False,False
08be4fa5-528d-4cd7-a3b9-a7f6452b61d1__c2of2,08be4fa5-528d-4cd7-a3b9-a7f6452b61d1,2,0.3939,True,False,False
08e99ff7-a5ee-4cae-93f5-6aa4d24f5b33__c1of2,08e99ff7-a5ee-4cae-93f5-6aa4d24f5b33,3,0.3547,True,False,False
08e99ff7-a5ee-4cae-93f5-6aa4d24f5b33__c2of2,08e99ff7-a5ee-4cae-93f5-6aa4d24f5b33,3,0.4054,True,False,False
08f7b5b5-8a52-43af-a30a-ad9c11ce8de7,08f7b5b5-8a52-43af-a30a-ad9c11ce8de7,4,0.8828,True,True,True
08f81f6d-d352-437c-bc65-c47d964f597d,08f81f6d-d352-437c-bc65-c47d964f597d,3,0.3101,False,False,False
091abe17-bf55-4912-b402-15442365622a__c1of2,091abe17-bf55-4912-b402-15442365622a,4,0.4585,True,False,False
091abe17-bf55-4912-b402-15442365622a__c2of2,091abe17-bf55-4912-b402-15442365622a,4,1.0,True,True,True
092043d6-49a6-40cd-b867-5771e4babd95__c1of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.6271,True,True,False
092043d6-49a6-40cd-b867-5771e4babd95__c2of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.5474,True,True,False
092043d6-49a6-40cd-b867-5771e4babd95__c3of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.3756,True,False,False
092043d6-49a6-40cd-b867-5771e4babd95__c4of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.3689,True,False,False
092043d6-49a6-40cd-b867-5771e4babd95__c5of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.6069,True,True,False
092043d6-49a6-40cd-b867-5771e4babd95__c6of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.5812,True,True,False
092043d6-49a6-40cd-b867-5771e4babd95__c7of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.7588,True,True,True
092043d6-49a6-40cd-b867-5771e4babd95__c8of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.4672,True,False,False
092043d6-49a6-40cd-b867-5771e4babd95__c9of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.6355,True,True,False
092043d6-49a6-40cd-b867-5771e4babd95__c10of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.6564,True,True,True
092043d6-49a6-40cd-b867-5771e4babd95__c11of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.4801,True,False,False
092043d6-49a6-40cd-b867-5771e4babd95__c12of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.6715,True,True,True
092043d6-49a6-40cd-b867-5771e4babd95__c13of13,092043d6-49a6-40cd-b867-5771e4babd95,0,0.1307,False,False,False
093e14c7-c6f0-4ab1-a493-f6ed864ed0fa__c1of2,093e14c7-c6f0-4ab1-a493-f6ed864ed0fa,2,0.4419,True,False,False
093e14c7-c6f0-4ab1-a493-f6ed864ed0fa__c2of2,093e14c7-c6f0-4ab1-a493-f6ed864ed0fa,2,1.0,True,True,True
095287be-f971-4a75-99fc-6c0a414a6c57__c1of2,095287be-f971-4a75-99fc-6c0a414a6c57,1,0.2726,False,False,False
095287be-f971-4a75-99fc-6c0a414a6c57__c2of2,095287be-f971-4a75-99fc-6c0a414a6c57,1,0.2976,False,False,False
095aba0d-c812-48a0-bccf-a60f64593b0f__c1of2,095aba0d-c812-48a0-bccf-a60f64593b0f,4,0.4035,True,False,False
095aba0d-c812-48a0-bccf-a60f64593b0f__c2of2,095aba0d-c812-48a0-bccf-a60f64593b0f,4,1.0,True,True,True
0960dbf7-bab1-4613-bb18-f81927fa3313__c1of4,0960dbf7-bab1-4613-bb18-f81927fa3313,0,0.3757,True,False,False
0960dbf7-bab1-4613-bb18-f81927fa3313__c2of4,0960dbf7-bab1-4613-bb18-f81927fa3313,0,0.309,False,False,False
0960dbf7-bab1-4613-bb18-f81927fa3313__c3of4,0960dbf7-bab1-4613-bb18-f81927fa3313,0,0.4478,True,False,False
0960dbf7-bab1-4613-bb18-f81927fa3313__c4of4,0960dbf7-bab1-4613-bb18-f81927fa3313,0,0.3023,False,False,False
098ec47b-09c0-49ad-9ba3-d8500ec2cae5,098ec47b-09c0-49ad-9ba3-d8500ec2cae5,4,0.4634,True,False,False
099eb63c-4a3c-4bca-baf4-705a46083a49__c1of7,099eb63c-4a3c-4bca-baf4-705a46083a49,0,0.3003,False,False,False
099eb63c-4a3c-4bca-baf4-705a46083a49__c2of7,099eb63c-4a3c-4bca-baf4-705a46083a49,0,0.2878,False,False,False
099eb63c-4a3c-4bca-baf4-705a46083a49__c3of7,099eb63c-4a3c-4bca-baf4-705a46083a49,0,0.3,False,False,False
099eb63c-4a3c-4bca-baf4-705a46083a49__c4of7,099eb63c-4a3c-4bca-baf4-705a46083a49,0,0.2771,False,False,False
099eb63c-4a3c-4bca-baf4-705a46083a49__c5of7,099eb63c-4a3c-4bca-baf4-705a46083a49,0,0.2916,False,False,False
099eb63c-4a3c-4bca-baf4-705a46083a49__c6of7,099eb63c-4a3c-4bca-baf4-705a46083a49,0,0.2739,False,False,False
099eb63c-4a3c-4bca-baf4-705a46083a49__c7of7,099eb63c-4a3c-4bca-baf4-705a46083a49,0,0.2994,False,False,False
09db3713-52b2-493d-8893-1e2347c24554,09db3713-52b2-493d-8893-1e2347c24554,1,0.2473,False,False,False
09e86185-d7b1-422e-92f8-e86a0438f4cc__c1of2,09e86185-d7b1-422e-92f8-e86a0438f4cc,3,0.4787,True,False,False
09e86185-d7b1-422e-92f8-e86a0438f4cc__c2of2,09e86185-d7b1-422e-92f8-e86a0438f4cc,3,1.0,True,True,True
0a086ecd-dfc9-4828-89c8-ea0b55b23ce5__c1of3,0a086ecd-dfc9-4828-89c8-ea0b55b23ce5,0,0.4138,True,False,False
0a086ecd-dfc9-4828-89c8-ea0b55b23ce5__c2of3,0a086ecd-dfc9-4828-89c8-ea0b55b23ce5,0,0.3503,True,False,False
0a086ecd-dfc9-4828-89c8-ea0b55b23ce5__c3of3,0a086ecd-dfc9-4828-89c8-ea0b55b23ce5,0,0.3883,True,False,False
0a32b868-ba90-4daf-aa2c-f508bf6da885,0a32b868-ba90-4daf-aa2c-f508bf6da885,1,0.2813,False,False,False
0a563c7c-797f-4ca6-b937-cd2be4d3465a,0a563c7c-797f-4ca6-b937-cd2be4d3465a,4,0.59,True,True,False
0a737259-8186-4ace-a2bf-1dd76c27563e,0a737259-8186-4ace-a2bf-1dd76c27563e,4,1.0,True,True,True
0abc65bd-3bac-4add-8026-8b65f1d50e5a__c1of4,0abc65bd-3bac-4add-8026-8b65f1d50e5a,4,1.0,True,True,True
0abc65bd-3bac-4add-8026-8b65f1d50e5a__c2of4,0abc65bd-3bac-4add-8026-8b65f1d50e5a,4,1.0,True,True,True
0abc65bd-3bac-4add-8026-8b65f1d50e5a__c3of4,0abc65bd-3bac-4add-8026-8b65f1d50e5a,4,0.3904,True,False,False
0abc65bd-3bac-4add-8026-8b65f1d50e5a__c4of4,0abc65bd-3bac-4add-8026-8b65f1d50e5a,4,1.0,True,True,True
0ac28a97-2e12-418e-89e7-87b30b6724f9__c1of4,0ac28a97-2e12-418e-89e7-87b30b6724f9,3,0.3608,True,False,False
0ac28a97-2e12-418e-89e7-87b30b6724f9__c2of4,0ac28a97-2e12-418e-89e7-87b30b6724f9,3,0.2983,False,False,False
0ac28a97-2e12-418e-89e7-87b30b6724f9__c3of4,0ac28a97-2e12-418e-89e7-87b30b6724f9,3,1.0,True,True,True
0ac28a97-2e12-418e-89e7-87b30b6724f9__c4of4,0ac28a97-2e12-418e-89e7-87b30b6724f9,3,1.0,True,True,True
0afc88d2-258e-4d6a-8c02-25b605573093,0afc88d2-258e-4d6a-8c02-25b605573093,4,0.6485,True,True,False
0b26936d-5f34-4d9e-815f-2a57bae7eb64,0b26936d-5f34-4d9e-815f-2a57bae7eb64,3,0.3485,False,False,False
0b84671a-8753-49d9-859d-b42c3d8944ae__c1of3,0b84671a-8753-49d9-859d-b42c3d8944ae,3,0.5532,True,True,False
0b84671a-8753-49d9-859d-b42c3d8944ae__c2of3,0b84671a-8753-49d9-859d-b42c3d8944ae,3,0.3668,True,False,False
0b84671a-8753-49d9-859d-b42c3d8944ae__c3of3,0b84671a-8753-49d9-859d-b42c3d8944ae,3,1.0,True,True,True
